Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,107.5,108.0,107.0,108.0,96.6638412475586,12973281
2020-02-04,111.5,112.0,108.0,108.0,96.6638412475586,13601163
2020-02-05,108.0,108.5,108.0,108.0,96.6638412475586,7127971
2020-02-06,108.5,109.0,108.5,108.5,97.1113510131836,5967464
2020-02-07,109.0,109.0,108.5,109.0,97.55887603759766,7526636
2020-02-10,109.0,109.0,108.0,109.0,97.55887603759766,6295322
2020-02-11,109.0,109.5,108.5,108.5,97.1113510131836,3888202
2020-02-12,109.0,109.0,108.5,108.5,97.1113510131836,6959768
2020-02-13,109.0,109.5,108.5,109.5,98.00639343261719,5627386
2020-02-14,109.5,109.5,109.0,109.0,97.55887603759766,3179443
2020-02-17,109.0,110.0,109.0,110.0,98.45391082763672,4343114
2020-02-18,109.5,110.0,109.5,109.5,98.00639343261719,2812057
2020-02-19,110.0,110.5,109.5,110.0,98.45391082763672,4873771
2020-02-20,110.0,110.5,109.5,109.5,98.00639343261719,6727345
2020-02-21,109.5,110.0,109.5,109.5,98.00639343261719,4980603
2020-02-24,109.5,109.5,108.5,108.5,97.1113510131836,7465889
2020-02-25,108.5,109.0,108.0,108.5,97.1113510131836,5278040
2020-02-26,108.0,109.0,108.0,108.0,96.6638412475586,6856707
2020-02-27,108.0,108.5,108.0,108.0,96.6638412475586,8037695
2020-03-02,107.5,108.0,107.0,108.0,96.6638412475586,11114123
2020-03-03,108.0,109.0,108.0,108.0,96.6638412475586,7103100
2020-03-04,108.5,109.0,108.0,109.0,97.55887603759766,4346670
2020-03-05,109.5,110.0,109.0,110.0,98.45391082763672,6645546
2020-03-06,109.5,110.0,108.5,108.5,97.1113510131836,7553751
2020-03-09,108.0,108.0,107.5,107.5,96.21631622314453,9024036
2020-03-10,107.0,108.5,107.0,107.5,96.21631622314453,10880267
2020-03-11,108.0,108.5,107.5,108.5,97.1113510131836,9091040
2020-03-12,108.0,108.5,107.0,107.5,96.21631622314453,16766527
2020-03-13,106.5,107.0,103.0,106.0,94.87376403808594,34147652
2020-03-16,106.5,107.0,105.0,105.0,93.97872924804688,16463671
2020-03-17,104.0,107.0,103.5,107.0,95.768798828125,22133575
2020-03-18,107.0,107.0,105.0,106.5,95.32128143310547,16697225
2020-03-19,104.0,106.0,103.5,105.5,94.42623901367188,24486593
