Date,Open,High,Low,Close,Volume
2000-01-05 00:00:00,5.36,5.36,5.07,5.07,7.0
2000-01-06 00:00:00,4.76,5.05,4.76,5.05,4.0
2000-01-07 00:00:00,4.73,4.78,4.73,4.78,12.0
2000-01-10 00:00:00,4.71,4.75,4.71,4.75,13.0
2000-01-11 00:00:00,4.75,4.84,4.75,4.84,10.0
2000-01-12 00:00:00,4.8,4.8,4.75,4.75,7.0
2000-01-13 00:00:00,4.75,4.86,4.75,4.86,15.0
2000-01-14 00:00:00,4.86,4.96,4.82,4.96,13.0
2000-01-15 00:00:00,4.96,4.96,4.96,4.96,7.0
2000-01-17 00:00:00,4.96,4.96,4.96,4.96,5.0
2000-01-18 00:00:00,4.96,5.04,4.96,5.04,12.0
2000-01-19 00:00:00,5.04,5.07,5.04,5.07,11.0
2000-01-20 00:00:00,5.07,5.07,5.07,5.07,2.0
2000-01-21 00:00:00,5.07,5.15,5.04,5.15,34.0
2000-01-24 00:00:00,5.15,5.47,5.15,5.4,19.0
2000-01-25 00:00:00,5.43,5.43,5.4,5.43,54.0
2000-01-26 00:00:00,5.43,5.8,5.43,5.8,24.0
2000-01-27 00:00:00,5.8,5.98,5.8,5.8,42.0
2000-01-28 00:00:00,6.16,6.16,5.8,5.8,22.0
2000-01-29 00:00:00,6.2,6.2,5.8,5.83,11.0
2000-01-31 00:00:00,5.94,6.2,5.94,6.2,11.0
2000-02-01 00:00:00,6.2,6.2,6.2,6.2,21.0
2000-02-09 00:00:00,6.34,6.34,6.34,6.34,15.0
2000-02-10 00:00:00,6.78,6.78,6.38,6.38,22.0
2000-02-11 00:00:00,6.7,6.7,6.7,6.7,7.0
2000-02-14 00:00:00,6.7,6.74,6.52,6.56,26.0
2000-02-15 00:00:00,6.52,6.52,6.52,6.52,12.0
2000-02-16 00:00:00,6.09,6.88,6.09,6.27,17.0
2000-02-17 00:00:00,6.52,6.7,6.52,6.7,11.0
2000-02-18 00:00:00,6.88,6.88,6.88,6.88,10.0
2000-02-19 00:00:00,6.88,6.88,6.41,6.45,28.0
2000-02-21 00:00:00,6.63,6.63,6.63,6.63,12.0
2000-02-22 00:00:00,6.74,6.74,6.2,6.52,28.0
2000-02-23 00:00:00,6.52,6.52,6.52,6.52,10.0
2000-02-24 00:00:00,6.12,6.12,6.12,6.12,13.0
2000-02-25 00:00:00,6.12,6.12,5.72,5.76,22.0
2000-02-29 00:00:00,5.76,5.76,5.76,5.76,1.0
2000-03-01 00:00:00,5.43,5.51,5.43,5.51,79.0
2000-03-02 00:00:00,5.51,5.58,5.51,5.54,7.0
2000-03-03 00:00:00,5.54,5.54,5.29,5.29,13.0
2000-03-04 00:00:00,5.36,5.65,5.36,5.65,15.0
2000-03-06 00:00:00,5.8,5.8,5.62,5.62,3.0
2000-03-07 00:00:00,5.8,5.8,5.27,5.27,4.0
2000-03-08 00:00:00,5.29,5.29,5.11,5.11,12.0
2000-03-09 00:00:00,5.11,5.11,5.07,5.07,34.0
2000-03-10 00:00:00,5.34,5.34,5.07,5.07,6.0
2000-03-13 00:00:00,5.15,5.15,4.73,4.89,28.0
2000-03-14 00:00:00,4.71,4.82,4.71,4.71,27.0
2000-03-15 00:00:00,4.71,4.71,4.71,4.71,10.0
2000-03-16 00:00:00,4.75,5.04,4.71,5.04,11.0
2000-03-17 00:00:00,5.04,5.24,4.73,5.22,9.0
2000-03-20 00:00:00,5.04,5.04,5.04,5.04,12.0
2000-03-21 00:00:00,4.87,5.07,4.87,5.05,17.0
2000-03-22 00:00:00,4.93,4.93,4.91,4.91,36.0
2000-03-23 00:00:00,4.89,5.11,4.89,5.07,21.0
2000-03-24 00:00:00,5.15,5.15,4.91,4.91,33.0
2000-03-27 00:00:00,4.95,4.95,4.95,4.95,5.0
2000-03-28 00:00:00,4.95,4.95,4.95,4.95,5.0
2000-03-29 00:00:00,4.98,4.98,4.8,4.82,34.0
2000-03-30 00:00:00,4.82,4.82,4.75,4.82,37.0
2000-03-31 00:00:00,4.93,4.93,4.75,4.82,35.0
2000-04-01 00:00:00,4.82,4.82,4.71,4.71,20.0
2000-04-05 00:00:00,4.91,4.91,4.75,4.75,11.0
