id,stockId,stockName,stockClass,startDate
0,0000,?,?,3000/01/01
100000,0050,台灣50,ETF,2008/01/02
100001,1565,精華,櫃生技,2004/03/30
1,1101,台泥,水泥工業,1962/02/09
2,1102,亞泥,水泥工業,1962/06/08
3,1103,嘉泥,水泥工業,1969/11/14
4,1104,環泥,水泥工業,1971/02/01
5,1108,幸福,水泥工業,1990/06/06
6,1109,信大,水泥工業,1991/12/05
7,1110,東泥,水泥工業,1994/10/22
8,1201,味全,食品工業,1962/02/09
9,1203,味王,食品工業,1964/08/24
10,1210,大成,食品工業,1978/05/20
11,1213,大飲,食品工業,1981/04/10
12,1215,卜蜂,食品工業,1987/07/27
13,1216,統一,食品工業,1987/12/28
14,1217,愛之味,食品工業,1989/10/28
15,1218,泰山,食品工業,1989/11/11
16,1219,福壽,食品工業,1990/12/01
17,1220,台榮,食品工業,1991/11/20
18,1225,福懋油,食品工業,1993/09/27
19,1227,佳格,食品工業,1994/04/09
20,1229,聯華,食品工業,1976/07/19
21,1231,聯華食,食品工業,1995/11/02
22,1232,大統益,食品工業,1996/02/09
23,1233,天仁,食品工業,1999/01/20
24,1234,黑松,食品工業,1999/03/12
25,1235,興泰,食品工業,2000/09/11
26,1236,宏亞,食品工業,2001/09/17
27,1256,鮮活果汁-KY,食品工業,2016/03/17
28,1301,台塑,塑膠工業,1964/07/27
29,1303,南亞,塑膠工業,1967/11/05
30,1304,台聚,塑膠工業,1972/05/20
31,1305,華夏,塑膠工業,1973/03/05
32,1307,三芳,塑膠工業,1985/11/23
33,1308,亞聚,塑膠工業,1986/06/20
34,1309,台達化,塑膠工業,1986/06/27
35,1310,台苯,塑膠工業,1987/08/06
36,1312,國喬,塑膠工業,1988/12/21
37,1313,聯成,塑膠工業,1989/03/27
38,1314,中石化,塑膠工業,1991/07/12
39,1315,達新,塑膠工業,1992/05/09
40,1316,上曜,建材營造業,1992/10/15
41,1319,東陽,汽車工業,1994/12/12
42,1321,大洋,塑膠工業,1999/01/26
43,1323,永裕,塑膠工業,2000/09/11
44,1324,地球,塑膠工業,2000/09/11
45,1325,恆大,塑膠工業,2000/09/11
46,1326,台化,塑膠工業,1984/12/20
47,1337,再生-KY,塑膠工業,2011/07/01
48,1338,廣華-KY,汽車工業,2012/12/19
49,1339,昭輝,汽車工業,2012/04/24
50,1340,勝悅-KY,塑膠工業,2013/12/06
51,1341,富林-KY,塑膠工業,2018/12/24
52,1342,八貫,其他業,2020/11/24
53,1402,遠東新,紡織纖維,1967/04/14
54,1409,新纖,紡織纖維,1973/08/31
55,1410,南染,紡織纖維,1973/10/18
56,1413,宏洲,紡織纖維,1975/12/23
57,1414,東和,紡織纖維,1976/02/02
58,1416,廣豐,其他業,1976/04/20
59,1417,嘉裕,紡織纖維,1976/12/28
60,1418,東華,紡織纖維,1977/02/14
61,1419,新紡,紡織纖維,1977/03/14
62,1423,利華,紡織纖維,1979/04/02
63,1432,大魯閣,貿易百貨業,1982/07/26
64,1434,福懋,紡織纖維,1985/12/24
65,1435,中福,其他業,1987/12/28
66,1436,華友聯,建材營造業,1988/04/11
67,1437,勤益控,其他業,1988/11/10
68,1438,三地開發,建材營造業,1988/12/15
69,1439,雋揚,紡織纖維,1989/05/22
70,1440,南紡,紡織纖維,1989/10/03
71,1441,大東,紡織纖維,1989/10/27
72,1442,名軒,建材營造業,1989/11/16
73,1443,立益物流,其他業,1990/04/21
74,1444,力麗,紡織纖維,1990/08/08
75,1445,大宇,紡織纖維,1991/02/05
76,1446,宏和,紡織纖維,1991/10/15
77,1447,力鵬,紡織纖維,1992/01/28
78,1449,佳和,紡織纖維,1992/03/12
79,1451,年興,紡織纖維,1992/12/21
80,1452,宏益,紡織纖維,1992/12/28
81,1453,大將,建材營造業,1993/04/19
82,1454,台富,紡織纖維,1993/05/07
83,1455,集盛,紡織纖維,1993/10/07
84,1456,怡華,建材營造業,1993/12/09
85,1457,宜進,紡織纖維,1994/10/20
86,1459,聯發,紡織纖維,1994/10/26
87,1460,宏遠,紡織纖維,1995/04/28
88,1463,強盛,紡織纖維,1996/12/05
89,1464,得力,紡織纖維,1997/01/18
90,1465,偉全,紡織纖維,1997/09/08
91,1466,聚隆,紡織纖維,1998/04/04
92,1467,南緯,紡織纖維,1998/12/21
93,1468,昶和,紡織纖維,1999/01/21
94,1470,大統新創,紡織纖維,1999/05/21
95,1471,首利,電子零組件業,2000/03/06
